dataset,subset,TPR,FPR,AUC
toniot_custom,backdoor,0.0,0.0009514747859181732,1.0
toniot_custom,ddos,0.0003486274688129993,0.0,0.9990685986101039
toniot_custom,dos,0.0042643923240938165,0.4990583804143126,0.9999899614116664
toniot_custom,injection,0.00022599721270104335,0.0,1.0
toniot_custom,mitm,0.02702702702702703,0.4785992217898833,1.0
toniot_custom,password,9.33852140077821e-05,0.4854368932038835,0.9990294284311133
toniot_custom,runsomware,0.49233716475095785,0.32075471698113206,0.9990832199680606
toniot_custom,scanning,0.0,0.0,0.9999414645002739
toniot_custom,xss,0.003225530214369309,0.000984251968503937,1.0
