dataset,subset,model,prop,blackbox_tnr,blackbox_fpr,blackbox_fnr,blackbox_tpr,blackbox_prec,blackbox_rec,blackbox_f1,fidelity,robustness,surrogate_tnr,surrogate_fpr,surrogate_fnr,surrogate_tpr,surrogate_prec,surrogate_rec,surrogate_f1
cicids_improved,tuesday,AE,0,0.9521626832551202,0.04783731674487977,0.025071633237822348,0.9749283667621776,0.5085949177877429,0.9749283667621776,0.6684675834970532,0.9705037216548381,0.998234377704691,0.9278256757248354,0.07217432427516461,0.0,1.0,0.41301775147928993,1.0,0.5845896147403685
cicids_improved,tuesday,VAE,0,0.9866128269489614,0.013387173051038597,0.4820916905444126,0.5179083094555874,0.6626947754353804,0.5179083094555874,0.5814234016887817,0.954405400727021,0.9975073567595638,0.9620211721052058,0.03797882789479428,0.025787965616045846,0.9742120343839542,0.5657237936772047,0.9742120343839542,0.7157894736842105
cicids_improved,tuesday,OCSVM,0,0.9397213430826876,0.06027865691731238,0.3818051575931232,0.6181948424068768,0.34246031746031746,0.6181948424068768,0.44075587334014305,0.9504587155963303,0.997645836939588,0.9216777620138965,0.07832223798610354,0.0,1.0,0.39335023950408565,1.0,0.5646107178968655
cicids_improved,tuesday,IForest,0,0.9487431336170832,0.0512568663829168,0.0,1.0,0.49768270944741533,1.0,0.6646036657938587,0.9878483642028735,0.9990998788298425,0.9375750300120048,0.062424969987995196,0.0,1.0,0.448586118251928,1.0,0.6193433895297249
cicids_improved,tuesday,AE,0.01,0.9551093164538542,0.044890683546145733,0.0,1.0,0.5307984790874525,1.0,0.6934923000496771,0.975696728405747,0.996434135364376,0.9343737494997999,0.06562625050020009,0.0,1.0,0.43625,1.0,0.607484769364665
cicids_improved,tuesday,VAE,0.01,0.9666775801229582,0.03332241987704172,0.4777936962750716,0.5222063037249284,0.443161094224924,0.5222063037249284,0.47944755014797763,0.9641682534187295,0.9943915527090185,0.9406307977736549,0.059369202226345084,0.44126074498567336,0.5587392550143266,0.32338308457711445,0.5587392550143266,0.40966386554621853
cicids_improved,tuesday,OCSVM,0.01,0.9422314380297574,0.05776856197024264,0.6368194842406877,0.3631805157593123,0.24200477326968975,0.3631805157593123,0.290461185906617,0.96565691535399,0.9950839536091397,0.9290625341045509,0.0709374658954491,0.5494269340974212,0.4505730659025788,0.24389298177588212,0.4505730659025788,0.31647798742138367
cicids_improved,tuesday,IForest,0.01,0.9571828731492596,0.042817126850740295,0.0,1.0,0.5425573260785076,1.0,0.7034517510707986,0.9871559633027523,0.9983728578847153,0.9437593219105824,0.05624067808941759,0.0,1.0,0.47450713800135963,1.0,0.6436145689257722
cicids_improved,tuesday,AE,0.03,0.9505984211866565,0.04940157881334352,0.6812320916905444,0.31876790830945556,0.24681087077093733,0.31876790830945556,0.2782119412316349,0.9711615025099533,0.9989613986498183,0.9289533995416348,0.07104660045836517,0.6253581661891118,0.3746418338108882,0.21122778675282713,0.3746418338108882,0.2701446280991735
cicids_improved,tuesday,VAE,0.03,0.9527447342573393,0.0472552657426607,0.8116045845272206,0.18839541547277938,0.16837387964148529,0.18839541547277938,0.17782285327924274,0.9826553574519646,0.9969188159944607,0.9410309578376805,0.05896904216231948,0.7335243553008596,0.2664756446991404,0.18665328650275967,0.2664756446991404,0.21953378577751548
cicids_improved,tuesday,OCSVM,0.03,0.9496162101204118,0.0503837898795882,0.9083094555873925,0.09169054441260745,0.08460013218770654,0.09169054441260745,0.08800275008594018,0.9639605331486931,0.9986498182447637,0.9661682854960166,0.03383171450398341,0.9727793696275072,0.027220630372492838,0.03925619834710744,0.027220630372492838,0.032148900169204735
cicids_improved,tuesday,IForest,0.03,0.9658045036196297,0.03419549638037033,0.6038681948424068,0.3961318051575931,0.3703951774949766,0.3961318051575931,0.38283142956040156,0.9748312272805955,0.9987190583347758,0.9430317581578086,0.056968241842191424,0.5544412607449857,0.4455587392550143,0.2842778793418647,0.4455587392550143,0.3470982142857143
cicids_improved,tuesday,AE,0.05,0.951835279566372,0.048164720433627996,0.9226361031518625,0.07736389684813753,0.07541899441340782,0.07736389684813753,0.07637906647807638,0.9797472736714558,0.9993075990998789,0.9500891265597148,0.049910873440285206,0.9434097421203438,0.05659025787965616,0.05444521019986216,0.05659025787965616,0.05549701440112399
cicids_improved,tuesday,VAE,0.05,0.9527083560697006,0.047291643930299394,0.9111747851002865,0.08882521489971347,0.08707865168539326,0.08882521489971347,0.08794326241134752,0.9827592175869828,0.999411459234897,0.9483429735530576,0.051657026446942415,0.9183381088825215,0.08166189111747851,0.07431551499348109,0.08166189111747851,0.07781569965870307
cicids_improved,tuesday,OCSVM,0.05,0.9456509876677944,0.05434901233220561,0.9512893982808023,0.04871060171919771,0.04353393085787452,0.04871060171919771,0.04597701149425288,0.9699844209797472,0.9975419768045698,0.9333915384335553,0.06660846156644476,0.9584527220630372,0.04154727793696275,0.03070407623080995,0.04154727793696275,0.035312024353120246
cicids_improved,tuesday,IForest,0.05,0.9640583506129725,0.03594164938702754,0.7822349570200573,0.2177650429799427,0.23529411764705882,0.2177650429799427,0.2261904761904762,0.9751774277306561,0.9966418556344123,0.9441958601622468,0.055804139837753286,0.8030085959885387,0.1969914040114613,0.15201768933112217,0.1969914040114613,0.171606864274571
cicids_improved,tuesday,AE,0.1,0.9015606242496998,0.09843937575030012,0.8925501432664756,0.10744985673352435,0.052521008403361345,0.10744985673352435,0.07055503292568203,0.9608793491431539,0.9990306387398303,0.9277892975371967,0.0722107024628033,0.914756446991404,0.08524355300859598,0.05655893536121673,0.08524355300859598,0.06799999999999999
