dataset,subset,model,prop,blackbox_tnr,blackbox_fpr,blackbox_fnr,blackbox_tpr,blackbox_prec,blackbox_rec,blackbox_f1,fidelity,robustness,surrogate_tnr,surrogate_fpr,surrogate_fnr,surrogate_tpr,surrogate_prec,surrogate_rec,surrogate_f1
cicids_improved,tuesday,AE,0,0.9718069045800138,0.028193095419986176,0.014326647564469915,0.9856733524355301,0.6397024639702464,0.9856733524355301,0.775866929799831,0.9790202527263285,0.9973342565345334,0.9550729382662155,0.04492706173378442,0.0,1.0,0.5305967312808818,1.0,0.6933200893965732
cicids_improved,tuesday,VAE,0,0.9549274255156608,0.04507257448433919,0.015759312320916905,0.9842406876790831,0.5258323765786452,0.9842406876790831,0.6854577201297083,0.9797126536264498,0.9996537995499394,0.9366655753210376,0.0633344246789625,0.0,1.0,0.44501115715651895,1.0,0.6159276417383631
cicids_improved,tuesday,OCSVM,0,0.9559460147695442,0.04405398523045582,0.0007163323782234957,0.9992836676217765,0.5353031465848043,0.9992836676217765,0.697151424287856,0.9484853730309849,0.9996191795049334,0.9694423223834988,0.030557677616501147,0.4871060171919771,0.5128939828080229,0.4601542416452442,0.5128939828080229,0.4850948509485095
cicids_improved,tuesday,IForest,0,0.9479791916766707,0.05202080832332933,0.0,1.0,0.49398443029016276,1.0,0.6612979630506869,0.9750389475506318,0.9970919162194911,0.923496671395831,0.07650332860416895,0.0,1.0,0.39897113460988853,1.0,0.5703779366700715
cicids_improved,tuesday,AE,0.01,0.9717341482047365,0.02826585179526356,0.025787965616045846,0.9742120343839542,0.6364061768834816,0.9742120343839542,0.7698839513161619,0.980474294616583,0.9991344988748485,0.9527447342573393,0.0472552657426607,0.0,1.0,0.5179962894248609,1.0,0.6824737228061599
cicids_improved,tuesday,VAE,0.01,0.951362363127069,0.04863763687293099,0.02005730659025788,0.9799426934097422,0.5057301293900185,0.9799426934097422,0.6671543525969276,0.9743119266055046,0.9989960186948244,0.9277165411619193,0.07228345883808068,0.0,1.0,0.4126514927579072,1.0,0.5842226407198159
cicids_improved,tuesday,OCSVM,0.01,0.9559460147695442,0.04405398523045582,0.0007163323782234957,0.9992836676217765,0.5353031465848043,0.9992836676217765,0.697151424287856,0.9371992383590099,0.9977150770296002,0.9541271053876096,0.045872894612390414,0.4878223495702006,0.5121776504297995,0.3618421052631579,0.5121776504297995,0.4240806642941874
cicids_improved,tuesday,IForest,0.01,0.9479791916766707,0.05202080832332933,0.0,1.0,0.49398443029016276,1.0,0.6612979630506869,0.9722693439501471,0.997645836939588,0.9202953908836262,0.07970460911637382,0.0,1.0,0.3891831614162253,1.0,0.5603050371262291
cicids_improved,tuesday,AE,0.03,0.967768925752119,0.03223107424788097,0.03151862464183381,0.9684813753581661,0.6041108132260947,0.9684813753581661,0.744083654375344,0.9786394322312619,0.9973342565345334,0.9507075557495726,0.04929244425042744,0.0,1.0,0.5074518356961105,1.0,0.6732577767060526
cicids_improved,tuesday,VAE,0.03,0.9524173305685911,0.04758266943140893,0.17621776504297995,0.8237822349570201,0.467860048820179,0.8237822349570201,0.5967825635703166,0.967491777739311,0.998788298424788,0.9336461857470261,0.06635381425297392,0.4505730659025788,0.5494269340974212,0.2960247008876882,0.5494269340974212,0.3847504389265112
